iter	Passed	Remaining
0	1	132
1	2	125
2	3	120
3	4	111
4	5	108
5	8	127
6	9	128
7	10	124
8	12	121
9	13	118
10	14	115
11	15	113
12	16	110
13	17	108
14	18	105
15	20	110
16	22	110
17	23	108
18	24	105
19	25	103
20	27	102
21	28	100
22	29	98
23	30	96
24	31	95
25	32	93
26	35	96
27	37	95
28	38	93
29	39	92
30	40	90
31	41	88
32	43	87
33	44	85
34	45	84
35	46	82
36	48	83
37	50	82
38	51	80
39	52	79
40	53	77
41	54	75
42	55	73
43	56	71
44	57	70
45	58	69
46	60	67
47	61	66
48	63	65
49	64	64
50	65	63
51	66	61
52	68	60
53	69	58
54	69	57
55	70	55
56	72	54
57	73	53
58	77	53
59	78	52
60	79	51
61	81	49
62	82	48
63	83	46
64	84	45
65	85	44
66	86	42
67	88	41
68	90	40
69	91	39
70	92	37
71	93	36
72	95	35
73	96	33
74	97	32
75	98	31
76	99	29
77	100	28
78	101	27
79	103	25
80	105	24
81	106	23
82	107	22
83	108	20
84	110	19
85	111	18
86	112	16
87	113	15
88	114	14
89	117	13
90	118	11
91	119	10
92	121	9
93	122	7
94	123	6
95	124	5
96	125	3
97	126	2
98	127	1
99	128	0
